국회의원코드,구분,의원이름(한자),구분코드,의원이름(한글),경력대수,경력대수코드,위원회 경력,활동기간
C1J76609,위원회 경력,姜己文,P13,강기문,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
C1J76609,위원회 경력,姜己文,P13,강기문,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
KAM9491G,위원회 경력,姜善明,P13,강선명,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
KAM9491G,위원회 경력,姜善明,P13,강선명,제헌,100001,제헌 재정경제위원회,1949.01.13 ~ 1949.12.19
RJD64678,위원회 경력,姜旭中,P13,강욱중,제헌,100001,제헌 법제사법위원회,1948.06.18 ~ 
TQQ62610,위원회 경력,權泰郁,P13,권태욱,제헌,100001,제헌 법제사법위원회,1949.12.21 ~ 1950.05.30
TQQ62610,위원회 경력,權泰郁,P13,권태욱,제헌,100001,제헌 교통체신위원회,1948.12.21 ~ 1949.12.19
TQQ62610,위원회 경력,權泰郁,P13,권태욱,제헌,100001,제헌 법제사법위원회,1948.06.18 ~ 1949.12.19
G7Z2566A,위원회 경력,金景道,P13,김경도,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
G7Z2566A,위원회 경력,金景道,P13,김경도,제헌,100001,제헌 재정경제위원회,1948.12.21 ~ 1949.12.19
G7Z2566A,위원회 경력,金景道,P13,김경도,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
KIL1823P,위원회 경력,金庚培,P13,김경배,제헌,100001,제헌 반민족행위특별조사위원회,1948.09.29 ~ 
4886853P,위원회 경력,金敎中,P13,김교중,제헌,100001,제헌 교통체신위원회,1949.12.21 ~ 1950.05.30
02E7012K,위원회 경력,金度演,P13,김도연,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1948.08.17
NX51740P,위원회 경력,金明東,P13,김명동,제헌,100001,제헌 반민족행위특별조사위원회,1948.09.29 ~ 
NX51740P,위원회 경력,金明東,P13,김명동,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
OE47479L,위원회 경력,金汶枰,P13,김문평,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
OE47479L,위원회 경력,金汶枰,P13,김문평,제헌,100001,제헌 재정경제위원회,1948.12.21 ~ 1949.12.19
OE47479L,위원회 경력,金汶枰,P13,김문평,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
1II4388O,위원회 경력,金秉會,P13,김병회,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
09N5003T,위원회 경력,金奉斗,P13,김봉두,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
IAQ9588L,위원회 경력,金尙德,P13,김상덕,제헌,100001,제헌 반민족행위특별조사위원회,1948.09.29 ~ 
B5N4494M,위원회 경력,金相敦,P13,김상돈,제헌,100001,제헌 교통체신위원회,1949.12.21 ~ 1950.05.30
B5N4494M,위원회 경력,金相敦,P13,김상돈,제헌,100001,제헌 반민족행위특별조사위원회,1948.09.29 ~ 
B5N4494M,위원회 경력,金相敦,P13,김상돈,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 
GV84780I,위원회 경력,金壽善,P13,김수선,제헌,100001,제헌 재정경제위원회,1948.12.21 ~ 1949.12.19
GV84780I,위원회 경력,金壽善,P13,김수선,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
4RH83902,위원회 경력,金若水,P13,김약수,제헌,100001,제헌 교통체신위원회,1948.06.18 ~ 
RVV6209L,위원회 경력,金英基,P13,김영기,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
RVV6209L,위원회 경력,金英基,P13,김영기,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
NKE36520,위원회 경력,金永東,P13,김영동,제헌,100001,제헌 교통체신위원회,1949.12.21 ~ 1950.05.30
NKE36520,위원회 경력,金永東,P13,김영동,제헌,100001,제헌 교통체신위원회,1948.06.18 ~ 1949.12.19
VM08397T,위원회 경력,金沃周,P13,김옥주,제헌,100001,제헌 교통체신위원회,1948.06.18 ~ 1949.12.19
IKI92758,위원회 경력,金用在,P13,김용재,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
IKI92758,위원회 경력,金用在,P13,김용재,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
O3Q35065,위원회 경력,金用鉉,P13,김용현,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
O3Q35065,위원회 경력,金用鉉,P13,김용현,제헌,100001,제헌 재정경제위원회,1948.12.21 ~ 1949.12.19
O3Q35065,위원회 경력,金用鉉,P13,김용현,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
XEK2350H,위원회 경력,金禹植,P13,김우식,제헌,100001,제헌 교통체신위원회,1949.12.21 ~ 1950.05.30
XEK2350H,위원회 경력,金禹植,P13,김우식,제헌,100001,제헌 교통체신위원회,1948.06.18 ~ 1949.12.19
D831681G,위원회 경력,金雄權,P13,김웅권,제헌,100001,제헌 법제사법위원회,1949.12.21 ~ 1950.05.30
4MX48617,위원회 경력,金雄鎭,P13,김웅진,제헌,100001,제헌 법제사법위원회,1949.12.21 ~ 1950.05.30
4MX48617,위원회 경력,金雄鎭,P13,김웅진,제헌,100001,제헌 교통체신위원회,1948.06.18 ~ 
Q0G1675P,위원회 경력,金翼基,P13,김익기,제헌,100001,제헌 법제사법위원회,1948.06.18 ~ 1949.12.19
ALP55797,위원회 경력,金益魯,P13,김익노,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
X898412T,위원회 경력,金載學,P13,김재학,제헌,100001,제헌 교통체신위원회,1948.06.18 ~ 1949.12.19
MBS7653Q,위원회 경력,金鍾文,P13,김종문,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
MBS7653Q,위원회 경력,金鍾文,P13,김종문,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
A2O2132V,위원회 경력,金鍾善,P13,김종선,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
B7963485,위원회 경력,金俊淵,P13,김준연,제헌,100001,제헌 반민족행위특별조사위원회,1948.09.29 ~ 
94P92684,위원회 경력,金철洙,P13,김철수,제헌,100001,제헌 교통체신위원회,1948.12.21 ~ 1949.12.19
27P1869Q,위원회 경력,金孝錫,P13,김효석,제헌,100001,제헌 반민족행위특별조사위원회,1948.09.29 ~ 
27P1869Q,위원회 경력,金孝錫,P13,김효석,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 
27P1869Q,위원회 경력,金孝錫,P13,김효석,제헌,100001,제헌 법제사법위원회,1948.06.18 ~ 
8UK6500D,위원회 경력,南宮炫,P13,남궁현,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
8UK6500D,위원회 경력,南宮炫,P13,남궁현,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
UC77337T,위원회 경력,朴己云,P13,박기운,제헌,100001,제헌 재정경제위원회,1949.12.21 ~ 1950.05.30
UC77337T,위원회 경력,朴己云,P13,박기운,제헌,100001,제헌 재정경제위원회,1948.12.21 ~ 1949.12.19
UC77337T,위원회 경력,朴己云,P13,박기운,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 1949.12.19
FB325823,위원회 경력,朴愚京,P13,박우경,제헌,100001,제헌 반민족행위특별조사위원회,1948.09.29 ~ 
F5J8557E,위원회 경력,朴允源,P13,박윤원,제헌,100001,제헌 재정경제위원회,1948.06.18 ~ 
P818288Z,위원회 경력,朴峻,P13,박준,제헌,100001,제헌 법제사법위원회,1949.12.21 ~ 1950.05.30
MTR5392Y,위원회 경력,朴海克,P13,박해극,제헌,100001,제헌 법제사법위원회,1949.12.21 ~ 1950.05.30
MTR5392Y,위원회 경력,朴海克,P13,박해극,제헌,100001,제헌 법제사법위원회,1948.06.18 ~ 1949.12.19
TPN6918O,위원회 경력,裵重赫,P13,배중혁,제헌,100001,제헌 교통체신위원회,1949.12.21 ~ 1950.02.10
