국회의원코드,의원이름(한자),의원이름(한글),경력대수,경력대수코드,의원이력,활동기간
C1J76609,姜己文,강기문,제헌,100001,제헌 무소속 경남 산청,1948.05.31 ~ 1950.05.30
41F70646,姜達秀,강달수,제헌,100001,제헌 부산15구락부 경남 하동,1948.05.31 ~ 1950.05.30
KAM9491G,姜善明,강선명,제헌,100001,제헌 무소속 전남 목포,1949.01.13 ~ 1950.05.30
RJD64678,姜旭中,강욱중,제헌,100001,제헌 조선민족청년단 경남 함안,1948.05.31 ~ 1950.02.10
7GP9235Q,郭尙勳,곽상훈,제헌,100001,제헌 무소속 경기 인천갑,1948.05.31 ~ 1950.05.30
10V43435,具中會,구중회,제헌,100001,제헌 무소속 경남 창녕,1948.05.31 ~ 1950.05.30
KB12672B,權炳魯,권병노,제헌,100001,제헌 대한독립촉성국민회 경북 의성을,1948.05.31 ~ 1950.05.30
TQQ62610,權泰郁,권태욱,제헌,100001,제헌 무소속 경남 마산,1948.05.31 ~ 1950.05.30
CW38252I,權泰羲,권태희,제헌,100001,제헌 무소속 경북 김천갑,1948.05.31 ~ 1950.05.30
G7Z2566A,金景道,김경도,제헌,100001,제헌 대한독립촉성국민회 경남 함양,1948.05.31 ~ 1950.05.30
KIL1823P,金庚培,김경배,제헌,100001,제헌 무소속 황해도 연백갑,1948.05.31 ~ 1950.05.30
8M43642N,金光俊,김광준,제헌,100001,제헌 무소속 경북 울진,1948.05.31 ~ 1950.05.30
4886853P,金敎中,김교중,제헌,100001,제헌 대동청년당 전북 무주,1949.01.13 ~ 1950.05.30
3287929R,金敎賢,김교현,제헌,100001,제헌 무소속 충북 보은,1948.05.31 ~ 1950.05.30
T5W7400K,金基喆,김기철,제헌,100001,제헌 대동청년당 충북 충주,1948.05.31 ~ 1950.05.30
PY281290,金德烈,김덕열,제헌,100001,제헌 무소속 경기 양주갑,1948.05.31 ~ 1950.05.30
02E7012K,金度演,김도연,제헌,100001,제헌 한국민주당 서울 서대문구,1948.05.31 ~ 1950.05.30
CIY4372L,金東元,김동원,제헌,100001,제헌 한국민주당 서울 용산구,1948.05.31 ~ 1950.05.30
KJX86715,金東準,김동준,제헌,100001,제헌 무소속 충남 서산을,1948.05.31 ~ 1950.05.30
NX51740P,金明東,김명동,제헌,100001,제헌 무소속 충남 공주갑,1948.05.31 ~ 1950.05.30
OE47479L,金汶枰,김문평,제헌,100001,제헌 대한독립촉성국민회 전남 여수갑,1948.05.31 ~ 1950.05.30
1II4388O,金秉會,김병회,제헌,100001,제헌 무소속 전남 진도,1948.05.31 ~ 1950.02.10
09N5003T,金奉斗,김봉두,제헌,100001,제헌 무소속 전북 장수,1948.05.31 ~ 1950.05.30
Z988261X,金鳳祚,김봉조,제헌,100001,제헌 교육협회 경북 청송,1948.05.31 ~ 1950.05.30
IAQ9588L,金尙德,김상덕,제헌,100001,제헌 민족통일본부 경북 고령,1948.05.31 ~ 1950.05.30
B5N4494M,金相敦,김상돈,제헌,100001,제헌 무소속 서울 마포구,1948.05.31 ~ 1950.05.30
RUC3702N,金相舜,김상순,제헌,100001,제헌 한국민주당 전남 장성,1948.05.31 ~ 1950.05.30
90A5013G,金尙浩,김상호,제헌,100001,제헌 한국민주당 전남 나주을,1948.05.31 ~ 1950.05.30
GV84780I,金壽善,김수선,제헌,100001,제헌 무소속 경남 울산을,1948.05.31 ~ 1950.05.30
4RH83902,金若水,김약수,제헌,100001,제헌 조선공화당 경남 동래,1948.05.31 ~ 1950.02.10
