TEL_NO,BTH_GBN_NM,ASSEM_ADDR,HJ_NM,HG_NM,BTH_DATE,ELECT_GBN_NM,POLY_NM,REELE_GBN_NM,CMITS,MEM_TITLE,ENG_NM,SEX_GBN_NM,E_MAIL,MONA_CD,SECRETARY2,JOB_RES_NM,STAFF,HOMEPAGE,CMIT_NM,SECRETARY,ORIG_NM,UNITS
02-784-1751,음,의원회관 937호,姜起潤,강기윤,1960-06-04,지역구,국민의힘,재선,"보건복지위원회, 연금개혁특별위원회","[학력]
마산공고(26회)
창원대학교 행정학과
중앙대학교 행정대학원 지방의회과 석사
창원대학교 대학원 행정학 박사

[경력]
현) 국회 보건복지위원회 국민의힘 간사
현) 국민의힘 소상공인살리기 특별위원회 부위원장
현) 국민의힘 코로나19 대책 특별위원회 위원

미래통합당 경남도당 민생특위 위원장
제19대 국회의원 (새누리당/경남 창원시 성산구)
새누리당 원내부대표",KANG GIYUN,남,ggotop@naver.com,14M56632,"안효상, 홍지형, 이유진, 조옥자",간사,"김홍광, 한영애",http://blog.naver.com/ggotop,"보건복지위원회, 연금개혁특별위원회","김영진, 지상훈",경남 창원시성산구,"제19대, 제21대"
02-784-5275,음,의원회관 341호,姜大植,강대식,1959-11-02,지역구,국민의힘,초선,"국토교통위원회, 예산결산특별위원회","[학력]
송정초등학교
안심중학교
경북대학교 사범대학 부속고등학교
영남대학교 경영대학원 경영학 석사
영남대학교 대학원 경영학 박사

[경력]
현) 제21대 국회 국토교통위원회 위원
현) 제21대 국회 예산결산위원회 위원
현) 제21대 국회의원 (대구 동구을/국민의힘)
현) 대구경북신공항 여야정 협의체 위원
현) 국민의힘 천안함 생존 장병과 유가족 지원을 위한 TF 위원
현) 한중차세대리더포럼 회원
현) 국회 아시아정당국제회의 의원연맹 회원
현) 국민의힘 약자와의동행위원회 위원
현) 국민의힘 호남동행 국회의원 모임 위원

전) 국민의힘 조직부총장
전) 제8회전국동시지방선거 국민의힘 중앙선대위 조직본부장
전) 6.1국회의원 재&middot;보궐선거 국민의힘 공천관리위원
전) 국회 정치개혁특별위원회&middot;공직선거법 및 지방선거구제개편심사소위원회 위원
전) 국회 국방위원회 및 예산심사소위&middot;법안심사소위 위원
전) 국민의힘 원내부대표
전) 국민의힘 제20대 대선 중앙선대본부 직능총괄본부 지방자치지원본부장
전) 국민의힘 제20대 대선 대구선대위 조직강화본부장
전) 국민의힘 대선 경선 유승민 후보 대외협력본부장
전) 국민의힘 초선의원 모임 운영위원
전) 대구광역시 동구 구청장
전) 대구광역시 동구의회 의장
전) 대구광역시 동구의회 의원
전) 대구광역시 동구문화재단 이사장
",KANG DAESIK,남,kds21341@naver.com,L2I9861C,"박순권, 김광연, 김현정, 송민욱, 정유미",위원,"박홍규, 정운태",,"국토교통위원회, 예산결산특별위원회","유진영, 이기백",대구 동구을,제21대
02-784-2747~9,음,의원회관 440호,姜得求,강득구,1963-05-27,지역구,더불어민주당,초선,"교육위원회, 국회운영위원회","2022. 3.  ~ 현재      더불어민주당 원내부대표 
2022. 4.  ~ 현재      국회 운영위원회 위원 
2020. 7.  ~ 현재      국회 교육위원회 위원(전반기, 후반기)
2020. 5.  ~ 현재      국회의원, 더불어민주당 안양시만안구 지역위원장 
2021. 7.  ~ 2022. 6.  국회 예산결산특별위원회 위원 
2018. 10. ~ 2019. 5. 민주연구원 자치발전연구센터 본부장 
2016. 10. ~ 2018. 3. 경기도 연정부지사
2014.  7. ~ 2016. 1. 경기도의회 의장 
2010.  7. ~ 2014. 6. 경기도의회 의원(2013. 7. ~ 2014. 6. 민주당 대표)
1998.  7. ~ 2002. 6. 경기도의회 의원 ",KANG DEUKGU,남,mainsail440@daum.net,8P37634C,"유태걸, 김창용, 오세령, 김연진, 배은경",위원,"김효성, 서용선", http://blog.naver.com/dulipapa,"교육위원회, 국회운영위원회","조성만, 홍미하",경기 안양시만안구,제21대
02-784-0797,음,의원회관 1007호,姜旻局,강민국,1971-03-03,지역구,국민의힘,초선,"민생경제안정특별위원회, 정무위원회, 예산결산특별위원회, 정치개혁특별위원회","[학력]


- 봉곡초등학교 졸업(14회)

- 진주중학교 졸업(36회)

- 진주동명고등학교 졸업(36회)

- 경남대학교 법정대학 법학과 졸업

- 경남대학교 대학원 법학과 졸업 (법학박사)

 

[경력]


- 전) 한국국제대학교 경찰복지행정학부 조교수

- 전) 새누리당 중앙청년위원회 상임전국위원

- 전) 새누리당 중앙당 부대변인

- 전) 경상남도 도지사 비서실장

- 전) 경상남도 정무보좌역

- 전) 제10대 ·제11대 경상남도의회 의원

- 전) 2015년 경남도교육청 소관 추경예산위원회 예·결산특별위원장

- 전) 제10대 후반기 경상남도의회 의회운영위원회 부위원장

- 전) 남부내륙철도 조기건설 특별위원회 부위원장

- 전) 제11대 전반기 경상남도의회 건설소방위원회 위원장

- 현) 제21대 국회의원 (경상남도 진주을)

- 현) 제21대 국회 정무위원회 위원

- 현) 국민의힘 원내대변인

- 현) 국민의힘 중앙윤리위원회 위원

- 현) 국민의힘 경상남도당 수석부위원장

- 현) 국민의힘 라임·옵티머스 권력형 비리게이트 특별위원회 위원

- 현) 국민의힘 중앙재해대책위원

- 현) 국민의힘 정부정책 감시 특별위원 
",KANG MINKUK,남,strongwind01@naver.com,GX22581L,"성환종, 이승연, 박정헌, 김훈",위원,"강민승, 정경섭",,"민생경제안정특별위원회, 정무위원회, 예산결산특별위원회, 정치개혁특별위원회","남정만, 정종환",경남 진주시을,제21대
02-784-2477,음,의원회관 421호,姜旼姃,강민정,1961-04-26,비례대표,더불어민주당,초선,"교육위원회, 국회운영위원회","현) 더불어민주당 원내소통부대표

전) 21대 국회 전반기 교육위원회 
전) 21대 국회 전반기 운영위원회
전) 21대 국회전반기 예산&bull;결산특별위원회 
전) 교육부 민주시민교육자문위원회 위원
전) 교육자치정책협의회 위원
전) 징검다리교육공동체 상임이사
전) 서울시교육청 혁신교육지구 정책연구교사
전) 북서울중학교 혁신부장
초선 (21대)",KANG MINJUNG,여,kmj2020edu@gmail.com,P2N50879,"김수안, 김성용, 민지홍, 황연미, 김기만",위원,"손성조, 윤호숙",https://blog.naver.com/kmgedu21,"교육위원회, 국회운영위원회","김민혜, 김원석",비례대표,제21대
02-784-1422,음,의원회관 932호,姜炳遠,강병원,1971-07-09,지역구,더불어민주당,재선,정무위원회,"1971년 7월 9일 생
서울대학교 농경제학과 졸업 (경제학사)

[경력]
1994 서울대학교 총학생회장
1998 ~ 1999 ㈜대우인터네셔널 무역부문
2002 제16대 대통령선거 노무현 대통령 후보 수행비서
2003 제16대 대통령직 인수위원회 행정관
2003 ~ 2007 노무현대통령 대통령비서실 청와대 행정관
2011 ㈜글로원씨앤티 대표이사
2011.1 ~2017.7 &#039사람사는세상 노무현재단&#039 기획위원
2011 민주당 전략기획위원회 부위원장
2012.08 ~ 2013.05 민주통합당 홍보위원회 부위원장
2012 제18대 대통령선거 문재인 민주통합당 대통령후보 직능특보실 부실장
2015.04 ~ 2015.12 새정치민주연합 부대변인
2015.12 ~ 2016.08 더불어민주당 부대변인
2016.03 ~ 더불어민주당 서울 은평(을) 지역위원장
2016.05 ~ 제20대 국회의원 (더불어민주당 / 서울 은평구을)
2016.05 ~ 2017.05 제20대 국회 전반기 국회운영위원회 위원
2016.05 ~ 2018.04 제20대 국회 전반기 환경노동위원회 위원
2016.05 ~ 2017.05 더불어민주당 원내부대표
2016.05 ~ 2016.10 더불어민주당 <가계부채TF> 간사
2016.10 ~ 더불어민주당 서울시당 을지키는민생실천위원회(을지로위원회) 위원장
2016.11 ~ 2018.08 더불어민주당 전국청년위원회 운영위원
2016.12 ~ 2018.08 더불어민주당 환경특별위원회 위원장
2017.03 ~ 2017.05 문재인 더불어민주당 대통령후보 환경노동특보단장, 유세본부 부본부장, 종합상황본부 단장
2017.03 ~ 2018.08 더불어민주당 중앙당 을지키는민생실천위원회(을지로위원회) 운영위원
2017.06 ~ 2018.08 더불어민주당 정책위원회 부의장
2017.06 ~ 2018.05 제20대 국회 전반기 예산결산특별위원회 위원
2017.07 ~ 사람사는세상 노무현재단 상임운영위원
2017.07 ~ 2018.08 더불어민주당 생활화학제품안전특별위원회 위원장
2017.08 ~ 2018.08 더불어민주당 적폐청산위원회 위원
2017.10 ~ 문재인 대통령 특사(2017 태국 국왕 장례식) 
2017.11 헌법재판소장 이진성 후보자 인사청문특별위원회 위원
2017.12 ~ 2018.05 제20대 국회 미세먼지대책 특별위원회 위원
2018.01 ~ 제20대 국회 운영위원회 위원
2018.05 ~ 더불어민주당 원내대변인
2018.07 ~ 제20대 국회 후반기 기획재정위원회 위원
2018.10 ~ 더불어민주당 자치분권정책협의회 지방혁신균형발전추진단 추진위원
2018.10 ~ 더불어민주당 동북아평화협력특별위원회 위원
2019.02 ~ 더불어민주당 도시재생특별위원회 위원
2019.11 ~ 문재인대통령 특별수행원(2019 아세안+3 정상회의) 
2020.04 ~ 제21대 국회의원 (더불어민주당 / 서울 은평구을)
2020.06 ~ 제21대 국회 보건복지위원회 위원 
2020.03~ 더불어민주당 코로나19 국난극복위원회 마스크공급확충팀장 
2020.09~ 더불어민주당 정책위원회 선임부의장 
2020.09~ 더불어민주당 미래전환 K-뉴딜위원회 디지털분과위원장 
2021.03~ 제21대 국회 보건복지위원회 위원 
2021.03~ 박영선 더불어민주당 서울시장 후보 종합상황본부장 
2021.06 ~더불어민주당 미래전환 K-뉴딜위원회 상임부위원장 ",KANG BYUNGWON,남,kangbw89@gmail.com,60490713,"정선호, 박화준, 정수현, 한재호, 모다빈",위원,"장용득, 허호인",http://kangbw.co.kr,정무위원회,"김모영, 김형모",서울 은평구을,"제20대, 제21대"
02-784-5761~3,음,의원회관 738호,姜仙祐,강선우,1978-06-02,지역구,더불어민주당,초선,보건복지위원회,"□ 학력
 - 이화여자대학교 사범대학 영어교육학과 학사
 - 이화여자대학교 대학원 소비자인간발달학과 석사 
 - 미국 위스콘신대학교 매디슨 캠퍼스 
   인간발달 및 가족학 박사 

□ 주요 약력
 - (현) 국회 보건복지위원회 위원
 - (현) 국회 여성가족위원회 위원
 - (현) 국회 예산결산특별위원회 위원
 - (전) 더불어민주당 대변인
 - (전) 더불어민주당 원내부대표
 - (전) 대통령 직속 국가교육회의 전문위원 
 - (전) 미국 사우스다코타주립대학교 조교수


[지역사무실]
서울 강서구 강서로 205 케이빌딩 6층
T: 02-2604-2300 / F:02-2604-2309",KANG SUNWOO,여,gangseo.kap@gmail.com,MNZ4401T,"홍혜린, 성하구, 양명선, 이홍영, 최미지",위원,"김연주, 남경수",http://blog.naver.com/gangseo-kap,보건복지위원회,"김수상, 이진원",서울 강서구갑,제21대
02-784-4162,음,의원회관 514호,姜恩美,강은미,1970-09-06,비례대표,정의당,초선,"보건복지위원회, 연금개혁특별위원회","제21대 국회의원 

정의당 원내대표
정의당 부대표
광주광역시 시의원
광주광역시 서구 구의원 ",KANG EUNMI,여,em7086@gmail.com,WMG57662,"장연경, 임미애, 신미희, 문다빈, 양희도",위원,"최용, 최철원",blog.naver.com/kangem2024,"보건복지위원회, 연금개혁특별위원회","김상현, 진은주",비례대표,제21대
02-784-6950,음,의원회관 315호,康準鉉,강준현,1964-08-19,지역구,더불어민주당,초선,기획재정위원회,"-21대 국회의원(세종특별자치시 을)
-국회 기획재정위원회 위원
-더불어민주당 세종시을 지역위원장
-더불어민주당 국가균형발전특별위원회 부위원장
-더불어민주당 K-뉴딜위원회 지역균형뉴딜분과위원회 위원
-더불어민주당 지방소멸대응TF 위원
-더불어민주당 세종시 을 지역위원장
 
-(前)세종특별자치시 정무부시장
-(前)행정안전부 정책자문위원회 지방자치분권과 위원
-(前)충남대학교 건축공학과 특임교수
-(前)더불어민주당 세종시당위원장",KANG JUNHYEON,남,jhkang315@gmail.com,5KV96424,"고아라, 안정균, 이수진, 김진희",위원,"권민희, 장웅선",https://blog.naver.com/withusone2020,기획재정위원회,"박동명, 정승민",세종특별자치시을,제21대
02-784-1045~47,음,의원회관 722호,姜勳植,강훈식,1973-10-24,지역구,더불어민주당,재선,보건복지위원회,"(현) 제20,21대 국회의원(재선)
(현) 더불어민주당 충남도당위원장
(현) 국회 산업통상자원중소벤처기업위원회 간사

- 더불어민주당 수석대변인(전)
- 국회 예산결산위원회 위원(전)
- 국회 국토교통위원회 위원(전) 
- 국회 아동·여성·인권정책포럼 연구책임위원(전) 
- 국회 미세먼지대책특별위원회 위원(전)
- 국회 운영위원회 위원(전)
- 더불어민주당 원내대변인(전)
- 더불어민주당 전략기획위원장(전)
- 동국대언론정보대학원 신문방송학 겸임교수(전)
- 뉴욕주립대학교 한국학연구소 객원연구원(전)
- 건국대학교 총학생회장(전) 
- 건국대 경영학 학사(전) 

[충남 아산 지역사무실]
충남 아산시 배방읍 배방로 22 삼영프라자 601호 
041-548-5245 ",KANG HOONSIK,남,gohoonsik@gmail.com,TRE2429O,"이은빈, 정언주, 안재민, 이종혁, 김현미",간사,"정의일, 조재순",http://blog.naver.com/kanghunsik,보건복지위원회,"윤재광, 정지훈",충남 아산시을,"제20대, 제21대"
