MONA_CD,HJ_NM,HG_NM,PROFILE_UNIT_NM,PROFILE_UNIT_CD,PROFILE_SJ,FRTO_DATE
14M56632,姜起潤,강기윤,제21대,100021.0,제21대 연금개혁특별위원회,2022.08.02 ~ 
14M56632,姜起潤,강기윤,제21대,100021.0,제21대 보건복지위원회,2022.07.22 ~ 
14M56632,姜起潤,강기윤,제21대,100021.0,제21대 보건복지위원회,2020.07.06 ~ 2022.05.29
14M56632,姜起潤,강기윤,제21대,100021.0,제21대 행정안전위원회,2020.06.29 ~ 2020.07.06
14M56632,姜起潤,강기윤,제19대,100019.0,제19대 중앙선거관리위원회 위원(김태현) 선출에 관한 인사청문특별위원회,2015.10.01 ~ 2015.11.12
14M56632,姜起潤,강기윤,제19대,100019.0,제19대 국회운영위원회,2015.08.10 ~ 2015.08.12
14M56632,姜起潤,강기윤,제19대,100019.0,제19대 안전행정위원회,2014.06.24 ~ 2016.05.29
14M56632,姜起潤,강기윤,제19대,100019.0,제19대 국회운영위원회,2014.06.24 ~ 2015.02.12
14M56632,姜起潤,강기윤,제19대,100019.0,제19대 공공의료 정상화를 위한 국정조사특별위원회,2013.06.12 ~ 2013.07.13
14M56632,姜起潤,강기윤,제19대,100019.0,제19대 안전행정위원회,2013.06.04 ~ 2014.05.29
14M56632,姜起潤,강기윤,제19대,100019.0,제19대 산업통상자원위원회,2013.06.04 ~ 2013.06.04
14M56632,姜起潤,강기윤,제19대,100019.0,제19대 방송공정성 특별위원회,2013.04.08 ~ 2013.11.30
14M56632,姜起潤,강기윤,제19대,100019.0,제19대 안전행정위원회,2013.03.22 ~ 2013.06.04
14M56632,姜起潤,강기윤,제19대,100019.0,제19대 대법관(김소영)임명동의에 관한 인사청문특별위원회,2012.10.16 ~ 2012.11.01
14M56632,姜起潤,강기윤,제19대,100019.0,제19대 예산결산특별위원회,2012.07.09 ~ 2013.05.29
14M56632,姜起潤,강기윤,제19대,100019.0,제19대 행정안전위원회,2012.07.09 ~ 2013.03.21
L2I9861C,姜大植,강대식,제21대,100021.0,제21대 예산결산특별위원회,2022.07.26 ~ 
L2I9861C,姜大植,강대식,제21대,100021.0,제21대 국토교통위원회,2022.07.22 ~ 
L2I9861C,姜大植,강대식,제21대,100021.0,제21대 정치개혁 특별위원회,2021.12.01 ~ 2022.05.29
L2I9861C,姜大植,강대식,제21대,100021.0,제21대 국방위원회,2020.07.06 ~ 2022.05.29
L2I9861C,姜大植,강대식,제21대,100021.0,제21대 행정안전위원회,2020.06.29 ~ 2020.07.06
8P37634C,姜得求,강득구,제21대,100021.0,제21대 예산결산특별위원회,2022.07.22 ~ 2022.08.17
8P37634C,姜得求,강득구,제21대,100021.0,제21대 국회운영위원회,2022.07.22 ~ 
8P37634C,姜得求,강득구,제21대,100021.0,제21대 교육위원회,2022.07.22 ~ 
8P37634C,姜得求,강득구,제21대,100021.0,제21대 국회운영위원회,2022.04.07 ~ 2022.05.29
8P37634C,姜得求,강득구,제21대,100021.0,제21대 예산결산특별위원회,2021.07.02 ~ 2022.05.29
8P37634C,姜得求,강득구,제21대,100021.0,제21대 교육위원회,2020.06.15 ~ 2022.05.29
GX22581L,姜旻局,강민국,제21대,100021.0,제21대 정치개혁특별위원회,2022.08.02 ~ 
GX22581L,姜旻局,강민국,제21대,100021.0,제21대 예산결산특별위원회,2022.07.26 ~ 
GX22581L,姜旻局,강민국,제21대,100021.0,제21대 정무위원회,2022.07.22 ~ 
GX22581L,姜旻局,강민국,제21대,100021.0,제21대 민생경제안정특별위원회,2022.07.21 ~ 
GX22581L,姜旻局,강민국,제21대,100021.0,제21대 정치개혁 특별위원회,2021.12.01 ~ 2022.05.29
GX22581L,姜旻局,강민국,제21대,100021.0,제21대 중앙선거관리위원회 위원(문상부) 선출에 관한 인사청문특별위원회,2021.11.15 ~ 2022.04.22
GX22581L,姜旻局,강민국,제21대,100021.0,제21대 국회운영위원회,2021.06.08 ~ 2022.05.06
GX22581L,姜旻局,강민국,제21대,100021.0,제21대 정무위원회,2020.07.06 ~ 2022.05.29
