음/양력,한자명,이름,생년월일,선거구구분,재선,정당명,영문명칭,대별코드,성별,대,국회의원코드,당선,선거구
음,姜己文,강기문,1999-00-00,지역구,초선,무소속,,100001,남,제헌,C1J76609,제헌,경남 산청
음,姜達秀,강달수,1905-05-18,지역구,초선,부산15구락부,,100001,남,제헌,41F70646,제헌,경남 하동
음,姜善明,강선명,1905-10-03,지역구,초선,무소속,,100001,남,제헌,KAM9491G,제헌,전남 목포
음,姜旭中,강욱중,1909-02-19,지역구,초선,조선민족청년단,,100001,남,제헌,RJD64678,제헌,경남 함안
음,郭尙勳,곽상훈,1896-10-21,지역구,5선,무소속,,100001,남,제헌,7GP9235Q,"제헌, 제2대, 제3대, 제4대, 제5대",경기 인천갑
음,具中會,구중회,1898-04-21,지역구,초선,무소속,,100001,남,제헌,10V43435,제헌,경남 창녕
음,權炳魯,권병노,1903-05-14,지역구,재선,대한독립촉성국민회,,100001,남,제헌,KB12672B,"제헌, 제2대",경북 의성을
음,權泰郁,권태욱,1910-10-15,지역구,재선,무소속,,100001,남,제헌,TQQ62610,"제헌, 제2대",경남 마산
음,權泰羲,권태희,1907-04-02,지역구,초선,무소속,,100001,남,제헌,CW38252I,제헌,경북 김천갑
음,金景道,김경도,1904-04-07,지역구,초선,대한독립촉성국민회,,100001,남,제헌,G7Z2566A,제헌,경남 함양
음,金庚培,김경배,1894-10-05,지역구,재선,무소속,,100001,남,제헌,KIL1823P,"제헌, 제2대",황해도 연백갑
음,金光俊,김광준,1915-11-15,지역구,3선,무소속,,100001,남,제헌,8M43642N,"제헌, 제2대, 제5대",경북 울진
음,金敎中,김교중,1911-01-09,지역구,초선,대동청년당,,100001,남,제헌,4886853P,제헌,전북 무주
음,金敎賢,김교현,1889-04-02,지역구,초선,무소속,,100001,남,제헌,3287929R,제헌,충북 보은
음,金基喆,김기철,1917-05-31,지역구,4선,대동청년당,KIM KI CHUL,100001,남,제헌,T5W7400K,"제헌, 제3대, 제5대, 제11대",충북 충주
음,金德烈,김덕열,1910-09-02,지역구,초선,무소속,,100001,남,제헌,PY281290,제헌,경기 양주갑
음,金度演,김도연,1894-06-16,지역구,6선,한국민주당,,100001,남,제헌,02E7012K,"제헌, 제3대, 제4대, 제5대, 제6대, 제7대",서울 서대문구
음,金東元,김동원,1884-02-01,지역구,초선,한국민주당,,100001,남,제헌,CIY4372L,제헌,서울 용산구
음,金東準,김동준,1905-06-10,지역구,초선,무소속,,100001,남,제헌,KJX86715,제헌,충남 서산을
음,金明東,김명동,1903-11-25,지역구,재선,무소속,,100001,남,제헌,NX51740P,"제헌, 제2대",충남 공주갑
음,金汶枰,김문평,1906-01-07,지역구,초선,대한독립촉성국민회,,100001,남,제헌,OE47479L,제헌,전남 여수갑
음,金秉會,김병회,1917-09-17,지역구,초선,무소속,,100001,남,제헌,1II4388O,제헌,전남 진도
음,金奉斗,김봉두,1906-04-08,지역구,초선,무소속,,100001,남,제헌,09N5003T,제헌,전북 장수
음,金鳳祚,김봉조,1905-01-19,지역구,재선,교육협회,,100001,남,제헌,Z988261X,"제헌, 제2대",경북 청송
음,金尙德,김상덕,1891-12-10,지역구,초선,민족통일본부,,100001,남,제헌,IAQ9588L,제헌,경북 고령
음,金相敦,김상돈,1901-06-09,지역구,4선,무소속,,100001,남,제헌,B5N4494M,"제헌, 제3대, 제4대, 제5대",서울 마포구
음,金相舜,김상순,1901-10-10,지역구,초선,한국민주당,,100001,남,제헌,RUC3702N,제헌,전남 장성
음,金尙浩,김상호,1901-01-02,지역구,초선,한국민주당,,100001,남,제헌,90A5013G,제헌,전남 나주을
음,金壽善,김수선,1911-06-26,지역구,재선,무소속,,100001,남,제헌,GV84780I,"제헌, 제3대",경남 울산을
음,金若水,김약수,1890-10-21,지역구,초선,조선공화당,,100001,남,제헌,4RH83902,제헌,경남 동래
음,金英基,김영기,1905-01-08,지역구,초선,대한독립촉성국민회,,100001,남,제헌,RVV6209L,제헌,경기 안성
음,金永東,김영동,1907-09-01,지역구,초선,무소속,,100001,남,제헌,NKE36520,제헌,전북 고창갑
음,金沃周,김옥주,1915-06-03,지역구,초선,무소속,,100001,남,제헌,VM08397T,제헌,전남 광양
음,金用在,김용재,1912-12-30,지역구,초선,대한독립촉성국민회,,100001,남,제헌,IKI92758,제헌,충남 당진
음,金用鉉,김용현,1914-02-18,지역구,초선,한국민주당,,100001,남,제헌,O3Q35065,제헌,전남 무안갑
음,金鏞化,김용화,1902-01-23,지역구,재선,무소속,,100001,남,제헌,V691403J,"제헌, 제2대",충남 천안
음,金禹植,김우식,1888-02-20,지역구,초선,전도회,,100001,남,제헌,XEK2350H,제헌,경북 달성
음,金雄權,김웅권,1997-00-00,지역구,초선,무소속,,100001,남,제헌,D831681G,제헌,경기 파주
음,金雄鎭,김웅진,1905-10-11,지역구,재선,무소속,,100001,남,제헌,4MX48617,"제헌, 제2대",경기 수원을
음,金翼基,김익기,1916-02-19,지역구,5선,대한독립촉성국민회,,100001,남,제헌,Q0G1675P,"제헌, 제2대, 제3대, 제4대, 제6대",경북 안동갑
음,金益魯,김익노,1905-04-15,지역구,4선,무소속,,100001,남,제헌,ALP55797,"제헌, 제2대, 제3대, 제4대, 제4대",경북 영일을
음,金仁湜,김인식,1913-12-23,지역구,초선,대동청년당,,100001,남,제헌,SNQ8811F,제헌,경기 옹진을
